City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Honningsvag,NO,2022-02-11 02:30:56,70.9821,25.9704,35.58,76,99,21.77
249,Aksehir,TR,2022-02-11 02:30:56,38.3575,31.4164,21.85,73,0,4.45
250,Moron,AR,2022-02-11 02:28:15,-34.6534,-58.6198,77.99,79,0,8.79
251,La Reforma,MX,2022-02-11 02:30:57,25.0833,-108.05,65.75,76,0,3.22
252,Werda,BW,2022-02-11 02:30:57,-25.2667,23.2833,70.5,61,14,7.94
253,Huarmey,PE,2022-02-11 02:30:58,-10.0681,-78.1522,71.44,79,100,5.84
254,Tateyama,JP,2022-02-11 02:30:58,34.9833,139.8667,49.1,64,99,16.64
255,Gushikawa,JP,2022-02-11 02:30:59,26.3544,127.8686,66.2,55,0,6.91
256,Lhokseumawe,ID,2022-02-11 02:30:59,5.1801,97.1507,82.17,70,96,1.79
257,At-Bashi,KG,2022-02-11 02:31:00,41.1702,75.8106,11.62,95,100,0.96
258,Richards Bay,ZA,2022-02-11 02:28:36,-28.783,32.0377,70.12,89,30,5.26
259,Ulaanbaatar,MN,2022-02-11 02:31:01,47.9077,106.8832,-12.87,77,0,4.47
260,Sitka,US,2022-02-11 02:31:01,57.0531,-135.33,35.49,64,75,0.0
261,Saint Anthony,US,2022-02-11 02:29:53,45.0205,-93.218,41.32,86,100,16.11
262,Bad Kreuznach,DE,2022-02-11 02:31:02,49.8333,7.8667,39.97,84,100,7.9
263,Tual,ID,2022-02-11 02:29:28,-5.6667,132.75,82.4,70,61,3.27
264,Palmer,US,2022-02-11 02:31:02,42.1584,-72.3287,40.06,69,20,0.0
265,Port Blair,IN,2022-02-11 02:28:29,11.6667,92.75,80.64,83,40,5.75
266,Qasigiannguit,GL,2022-02-11 02:31:03,68.8193,-51.1922,-0.15,84,100,2.08
267,Port Augusta,AU,2022-02-11 02:31:03,-32.5,137.7667,84.7,24,0,12.35
268,Hualmay,PE,2022-02-11 02:31:04,-11.0964,-77.6139,70.75,79,100,6.22
269,Ola,RU,2022-02-11 02:31:04,59.5833,151.2833,5.74,66,96,3.49
270,Norman Wells,CA,2022-02-11 02:30:04,65.282,-126.8329,-12.96,70,20,5.75
271,Poya,NC,2022-02-11 02:31:05,-21.35,165.15,84.33,79,100,14.79
272,Luanda,AO,2022-02-11 02:31:05,-8.8368,13.2343,77.0,65,75,4.61
273,Cortez,US,2022-02-11 02:30:14,37.3489,-108.5859,42.57,48,0,4.61
274,Otradnoye,RU,2022-02-11 02:32:06,59.7775,30.8181,32.56,92,99,8.3
275,Hasaki,JP,2022-02-11 02:29:54,35.7333,140.8333,43.29,64,100,23.58
276,Payakumbuh,ID,2022-02-11 02:32:06,-0.2202,100.6308,76.44,71,100,1.48
277,Madimba,TZ,2022-02-11 02:32:07,-10.4,40.3333,77.56,89,100,8.1
278,Nome,US,2022-02-11 02:32:07,64.5011,-165.4064,-9.33,70,0,0.0
279,Tessalit,ML,2022-02-11 02:32:07,20.1986,1.0114,60.04,23,47,11.3
280,Moree,AU,2022-02-11 02:32:07,-29.4667,149.85,93.22,21,0,12.66
281,Avera,US,2022-02-11 02:29:12,33.194,-82.5271,57.07,50,8,5.37
282,Pontianak,ID,2022-02-11 02:32:08,-0.0333,109.3333,78.78,88,75,4.61
283,Manado,ID,2022-02-11 02:31:52,1.487,124.8455,84.97,79,40,1.14
284,Kodiak,US,2022-02-11 02:31:15,57.79,-152.4072,35.11,75,100,25.32
285,Salta,AR,2022-02-11 02:30:37,-24.7859,-65.4117,68.58,82,20,6.91
286,Egvekinot,RU,2022-02-11 02:32:08,66.3167,-179.1667,-22.88,89,29,4.34
287,Gigmoto,PH,2022-02-11 02:32:09,13.7796,124.39,81.07,71,99,13.58
288,Phonhong,LA,2022-02-11 02:28:01,18.5007,102.4166,75.02,46,50,1.16
289,Nador,MA,2022-02-11 02:32:09,35.174,-2.9287,53.85,76,40,1.14
290,Caranavi,BO,2022-02-11 02:32:09,-15.8167,-67.55,64.87,94,94,2.62
291,Sibu,MY,2022-02-11 02:27:56,2.3,111.8167,80.91,89,40,3.44
292,Zyryanka,RU,2022-02-11 02:32:10,65.75,150.85,-21.66,88,36,5.03
293,Westport,US,2022-02-11 02:30:42,41.1415,-73.3579,46.8,58,0,6.91
