City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Ribeira Grande,PT,38.5167,-28.7,65.08,94,81,12.15,broken clouds
314,Hambantota,LK,6.1241,81.1185,79.14,100,75,10.36,broken clouds
315,Paragominas,BR,-2.9667,-47.4833,71.4,99,100,4.12,overcast clouds
316,Susanville,US,40.4163,-120.653,60.64,58,100,11.01,overcast clouds
317,Teberda,RU,43.4456,41.7448,59.07,80,32,3.96,scattered clouds
318,Nisia Floresta,BR,-6.0911,-35.2086,79.18,90,9,7.36,clear sky
319,Port Arthur,CN,38.8,121.2667,70.02,79,95,14.34,overcast clouds
320,Castro,BR,-24.7911,-50.0119,53.44,91,39,2.71,scattered clouds
321,Kruisfontein,ZA,-34.0033,24.7314,52.97,75,6,7.0,clear sky
322,Vila Do Maio,CV,15.1333,-23.2167,72.39,85,13,18.1,few clouds
323,Torbay,CA,47.6666,-52.7314,47.28,69,100,10.36,overcast clouds
324,Saint George,US,37.1041,-113.5841,91.99,15,0,9.22,clear sky
325,Lompoc,US,34.6391,-120.4579,68.02,84,100,24.0,mist
326,Komsomolskiy,UZ,40.4272,71.7189,83.12,23,0,4.61,clear sky
327,Tula,RU,54.2044,37.6111,51.28,90,0,7.34,clear sky
328,Igarka,RU,67.4667,86.5833,39.74,54,42,4.79,scattered clouds
329,Araguaina,BR,-7.1911,-48.2072,73.53,61,5,3.2,clear sky
330,Hof,DE,50.3167,11.9167,60.73,81,75,11.99,broken clouds
331,San Vicente,AR,-26.6167,-54.1333,58.78,95,100,3.11,overcast clouds
332,Lichuan,CN,30.3,108.85,59.58,91,100,3.29,overcast clouds
333,Natal,BR,-5.795,-35.2094,79.02,83,75,9.22,broken clouds
334,Basco,PH,20.4487,121.9702,84.92,80,96,20.74,overcast clouds
335,Avallon,FR,47.4833,3.9,55.49,92,99,6.29,overcast clouds
336,Sebezh,RU,56.2955,28.4654,50.52,84,91,3.87,overcast clouds
337,Yulara,AU,-25.2406,130.9889,58.98,48,61,10.51,broken clouds
338,Astoria,US,46.1879,-123.8313,56.71,91,100,8.05,overcast clouds
339,Colotlan,MX,22.1,-103.2667,67.96,61,100,1.12,overcast clouds
340,Betsiamites,CA,48.9413,-68.646,48.6,93,100,5.12,overcast clouds
341,Ranong,TH,9.9658,98.6348,85.93,69,63,5.79,broken clouds
342,Santa Marta,CO,11.2408,-74.199,80.65,83,75,9.22,broken clouds
343,Antofagasta,CL,-23.65,-70.4,56.48,76,13,1.66,few clouds
344,Dukat,RU,62.55,155.55,55.42,55,100,10.18,light rain
345,Rapid Valley,US,44.0625,-103.1463,63.45,85,0,5.99,clear sky
